,"Manufacturer","Model","Weight.oz","Dim.1.in","Dim.2.in","Dim.3.in","Talk.hr","Standby.hr","Volume.in3","Composite","Years"
"634","Nokia","6111",3.25,3.32,1.85,0.91,3.5,240,5.58922,29.1315297051,2005.8273972603
"611","Kyocera","KX12",4.62,4.33,1.97,1.02,6.9,220,8.700702,19.1055996899,2005.8328767123
"677","BlackBerry","8700",4.7,4.3,2.7,0.8,4,384,9.288,28.8818987704,2005.8383561644
"620","BlackBerry","7130e",4.7,4.6,2.2,0.9,3,192,9.108,14.9913093859,2005.8438356164
"690","LG","CG300",3.4,3.58,1.9,0.94,3.4,240,6.39388,26.2408769558,2005.8630136986
"704","Samsung","SPH-A960",3.49,3.46,1.81,0.96,3,800,6.012096,85.7705499923,2005.8767123288
"706","Motorola","A1200 / MING",4.3,3.77,2.04,0.85,7.4,170,6.53718,19.1009100153,2005.8794520548
"746","HP","iPAQ hw6920 / hw6925 / hw6915 / hw6945",6.33,4.65,2.8,0.71,4,168,9.2442,12.0712460351,2005.8821917808
"688","Sanyo","MM-7500",4,3.41,1.94,1.11,3.4,1000,7.343094,89.658077417,2005.8904109589
"751","Samsung","Jitterbug SPH-A110 / A120",4.4,4,2,1,3,200,8,17.3387096774,2005.8904109589
"689","Samsung","SGH-P300",2.86,3.44,2.15,0.35,5.5,200,2.5886,41.7538450244,2005.8931506849
"691","UTStarcom","CDM-7025 / CDM-120",3.2,3.46,1.9,0.8,3.5,255,5.2592,32.2134480802,2005.9150684932
"698","Nokia","6305i",4.69,3.89,1.89,0.96,3.5,240,7.058016,21.918594595,2005.9178082192
"693","Sony","Ericsson Z300",3.2,3.3,1.8,0.9,5.5,250,5.346,32.4713316171,2005.9205479452
"717","Pantech","PG-C300 / C3",2.41,2.72,1.69,0.76,3.5,250,3.493568,45.3115810642,2005.9232876712
"697","Motorola","C261 / C257",3.28,4.33,1.96,0.59,7.5,250,5.007212,34.6920049831,2005.9315068493
"581","Motorola","L2",2.82,4.33,1.93,0.41,5.8,380,3.426329,65.4784594279,2005.9506849315
"695","Motorola","Q",4.06,4.57,2.52,0.47,4,192,5.412708,22.3800839211,2005.9534246575
"719","LG","VX-3400 / 3450 / UX-210",3,3.33,1.79,0.94,4,166,5.603058,21.620219229,2005.9534246575
"720","Samsung","SPH-A580",3.41,3.6,1.78,1,3.5,1000,6.408,103.6361784477,2005.9561643836
"740","Samsung","SGH-P850 / P858",4.23,3.77,1.86,0.96,3,300,6.731712,28.7363871629,2005.9561643836
"685","Nokia","6165i",4.44,3.42,1.79,0.98,4,240,5.999364,24.9057318051,2005.9643835616
"701","LG","Fusic / LX-550",4.23,3.78,1.89,0.78,4.5,180,5.572476,20.6580459876,2005.9671232877
"702","Motorola","C290",3.53,3.43,1.91,0.93,3.4,168,6.092709,19.2253553547,2005.9698630137
"722","Samsung","SGH-X507 / X506",2.9,3.3,1.75,0.75,5,250,4.33125,38.029386344,2005.9753424658
"780","Samsung","SGH-E870",2.93,3.62,1.65,0.67,3,290,4.00191,43.999417188,2005.994520548
"705","Kyocera","Strobe K612 / SwitchBack",4.1,4.25,2.05,0.95,3,150,8.276875,13.3313134374,2005.997260274
"711","LG","CG225",3.27,3.36,1.89,0.9,6,240,5.71536,30.0488795107,2005.997260274
"787","Samsung","SPH-A420",2.9,3.35,1.72,0.85,3.5,1000,4.8977,130.4871949421,2006.0109589041
"714","Samsung","SCH-A930",3.98,3.59,1.89,0.98,3.5,200,6.649398,20.4621183627,2006.0356164384
"718","Samsung","SGH-D520",3.32,3.98,1.81,0.63,3,288,4.538394,38.5574966081,2006.0684931507
"606","Nokia","N91",5.78,4.45,2.17,0.87,3.5,190,8.401155,14.6320944944,2006.0739726027
"725","Pantech","PG-C120",2.65,4.06,1.65,0.51,3,240,3.41649,42.0341911056,2006.0904109589
"679","Nokia","N80",4.73,3.76,1.97,1.02,3,192,7.555344,16.8493450407,2006.101369863
"692","Nokia","6282",4.06,3.94,1.81,0.83,4,240,5.919062,26.0545530231,2006.101369863
"686","Nokia","2855i",3.7,3.34,1.79,0.98,4,240,5.859028,27.1994181835,2006.1068493151
"707","Nokia","3250",4.06,4.06,1.97,0.75,3,245,5.99865,25.848399139,2006.1095890411
"713","Nokia","6103 / 6102i",3.42,3.35,1.77,0.94,3.5,336,5.57373,39.3051603728,2006.1095890411
"731","Samsung","SGH-T609",3.3,3.43,1.69,0.79,4.3,154,4.579393,22.2732893257,2006.1260273973
"721","Samsung","SGH-D807 / D806",3.46,3.82,2.05,0.61,5,250,4.77691,33.3863062726,2006.1287671233
